,City,Year,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown
0,Albuquerque,2007,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Albuquerque,2008,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Albuquerque,2009,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Albuquerque,2010,47,16,0.3404255319148936,0.0006863417982155113,1.0,0.002745367192862045,,0.013040494166094716,0.2631578947368421,0.013040494166094716,0.5294117647058824,0.004118050789293068,0.16666666666666666,0.0,
0,Albuquerque,2011,40,12,0.3,0.0,,0.004118050789293068,0.5,0.01098146877144818,0.4375,0.01098146877144818,0.15384615384615385,0.0034317089910775567,,0.0,
0,Albuquerque,2012,48,15,0.3125,0.0,,0.0034317089910775567,0.6,0.013040494166094716,0.15789473684210525,0.013040494166094716,0.4666666666666667,0.00549073438572409,0.25,0.0006863417982155113,
0,Albuquerque,2013,35,18,0.5142857142857142,0.0,,0.002745367192862045,0.25,0.01029512697323267,0.6666666666666666,0.01029512697323267,0.5384615384615384,0.002059025394646534,,0.0,
0,Albuquerque,2014,29,9,0.3103448275862069,0.0,,0.00549073438572409,0.25,0.0,,0.0,0.3333333333333333,0.004118050789293068,0.3333333333333333,0.0,
0,Albuquerque,2015,52,22,0.4230769230769231,0.0,,0.002745367192862045,0.75,0.0013726835964310226,1.0,0.0013726835964310226,0.3125,0.004118050789293068,0.5,0.00549073438572409,0.5
0,Albuquerque,2016,66,26,0.3939393939393939,0.0034317089910775567,1.0,0.0013726835964310226,0.5,0.0,,0.0,0.2978723404255319,0.004118050789293068,0.5,0.004118050789293068,0.5
0,Albuquerque,2017,80,39,0.4875,0.0,,0.0006863417982155113,1.0,0.0006863417982155113,,0.0006863417982155113,0.5,0.0006863417982155113,1.0,0.05147563486616335,0.48
0,Atlanta,2007,137,67,0.48905109489051096,0.0,,0.08167467398764584,0.4957983193277311,0.0034317089910775567,0.8,0.0034317089910775567,0.3076923076923077,0.0,,0.0,
0,Atlanta,2008,112,38,0.3392857142857143,0.0,,0.06726149622512011,0.30612244897959184,0.0061770761839396015,0.4444444444444444,0.0061770761839396015,0.8,0.0,,0.0,
0,Atlanta,2009,85,32,0.3764705882352941,0.0,,0.05216197666437886,0.3815789473684211,0.0006863417982155113,1.0,0.0006863417982155113,0.16666666666666666,0.0013726835964310226,0.5,0.0,
0,Atlanta,2010,99,37,0.37373737373737376,0.0013726835964310226,,0.05971173644474949,0.40229885057471265,0.0013726835964310226,,0.0013726835964310226,0.25,0.0,,0.0,
0,Atlanta,2011,95,33,0.3473684210526316,0.0,,0.06382978723404255,0.34408602150537637,0.0006863417982155113,1.0,0.0006863417982155113,,0.0,,0.0,
0,Atlanta,2012,89,24,0.2696629213483146,0.0006863417982155113,1.0,0.05696636925188744,0.25301204819277107,0.0,,0.0,0.25,0.0006863417982155113,1.0,0.0,
0,Atlanta,2013,89,28,0.3146067415730337,0.0006863417982155113,,0.053534660260809885,0.28205128205128205,0.0,,0.0,0.6,0.0,,0.0,
0,Atlanta,2014,100,46,0.46,0.0,,0.06314344543582705,0.4673913043478261,0.0006863417982155113,1.0,0.0006863417982155113,0.3333333333333333,0.0006863417982155113,,0.0,
0,Atlanta,2015,102,31,0.30392156862745096,0.0,,0.06657515442690459,0.31958762886597936,0.0,,0.0,,0.0,,0.0,
0,Atlanta,2016,119,56,0.47058823529411764,0.0,,0.07824296499656828,0.47368421052631576,0.0006863417982155113,,0.0006863417982155113,0.5,0.0,,0.0,
0,Atlanta,2017,16,11,0.6875,0.0,,0.01098146877144818,0.6875,0.0,,0.0,,0.0,,0.0,
0,Baltimore,2007,302,177,0.5860927152317881,0.0,,0.1928620452985587,0.594306049822064,0.002745367192862045,0.5,0.002745367192862045,0.42857142857142855,0.002059025394646534,0.6666666666666666,0.0,
0,Baltimore,2008,252,150,0.5952380952380952,0.0,,0.1571722717913521,0.6026200873362445,0.004118050789293068,0.5,0.004118050789293068,0.5,0.0006863417982155113,1.0,0.0,
0,Baltimore,2009,254,143,0.562992125984252,0.0013726835964310226,,0.15374056280027454,0.6071428571428571,0.00549073438572409,0.25,0.00549073438572409,0.25,0.0,,0.0,
0,Baltimore,2010,237,137,0.5780590717299579,0.0,,0.14756348661633492,0.6186046511627907,0.004118050789293068,0.3333333333333333,0.004118050789293068,0.13333333333333333,0.0006863417982155113,,0.0,
0,Baltimore,2011,212,130,0.6132075471698113,0.0013726835964310226,0.5,0.13589567604667124,0.6161616161616161,0.004804392587508579,0.7142857142857143,0.004804392587508579,0.4,0.0,,0.0,
0,Baltimore,2012,233,141,0.6051502145922747,0.0013726835964310226,,0.151681537405628,0.6153846153846154,0.0006863417982155113,1.0,0.0006863417982155113,0.4444444444444444,0.0,,0.0,
0,Baltimore,2013,249,151,0.606425702811245,0.0,,0.16266300617707619,0.6286919831223629,0.0013726835964310226,,0.0013726835964310226,0.2,0.0,,0.0,
0,Baltimore,2014,226,134,0.5929203539823009,0.0013726835964310226,0.5,0.1386410432395333,0.6039603960396039,0.0075497597803706245,0.5454545454545454,0.0075497597803706245,0.45454545454545453,0.0,,0.0,
0,Baltimore,2015,369,276,0.7479674796747967,0.0006863417982155113,1.0,0.23472889498970487,0.7456140350877193,0.002745367192862045,1.0,0.002745367192862045,0.7142857142857143,0.0006863417982155113,1.0,0.0,
0,Baltimore,2016,346,269,0.7774566473988439,0.0,,0.2230610844200412,0.796923076923077,0.002745367192862045,0.75,0.002745367192862045,0.4117647058823529,0.0,,0.0,
0,Baltimore,2017,367,268,0.7302452316076294,0.0013726835964310226,0.5,0.22923816060398078,0.7425149700598802,0.002745367192862045,0.5,0.002745367192862045,0.6296296296296297,0.0,,0.0,
0,Baton Rouge,2007,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Baton Rouge,2008,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Baton Rouge,2009,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Baton Rouge,2010,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Baton Rouge,2011,68,34,0.5,0.0,,0.043239533287577216,0.47619047619047616,0.0006863417982155113,1.0,0.0006863417982155113,0.75,0.0,,0.0,
0,Baton Rouge,2012,71,26,0.36619718309859156,0.0,,0.043239533287577216,0.36507936507936506,0.0013726835964310226,0.5,0.0013726835964310226,0.3333333333333333,0.0,,0.0,
0,Baton Rouge,2013,52,20,0.38461538461538464,0.0,,0.031571722717913524,0.41304347826086957,0.0006863417982155113,,0.0006863417982155113,0.2,0.0,,0.0,
0,Baton Rouge,2014,56,21,0.375,0.0,,0.03568977350720659,0.38461538461538464,0.0006863417982155113,1.0,0.0006863417982155113,,0.0006863417982155113,,0.0,
0,Baton Rouge,2015,65,36,0.5538461538461539,0.0,,0.03912148249828414,0.6140350877192983,0.0013726835964310226,0.5,0.0013726835964310226,,0.0,,0.0,
0,Baton Rouge,2016,47,24,0.5106382978723404,0.0,,0.026767330130404943,0.46153846153846156,0.0006863417982155113,,0.0006863417982155113,0.8571428571428571,0.0,,0.0,
0,Baton Rouge,2017,93,50,0.5376344086021505,0.0006863417982155113,,0.05696636925188744,0.5903614457831325,0.002059025394646534,0.3333333333333333,0.002059025394646534,,0.0006863417982155113,,0.0,
0,Birmingham,2007,98,50,0.5102040816326531,0.0,,0.05216197666437886,0.4605263157894737,0.002059025394646534,1.0,0.002059025394646534,0.6111111111111112,0.0006863417982155113,1.0,0.0,
0,Birmingham,2008,87,37,0.42528735632183906,0.0,,0.053534660260809885,0.4230769230769231,0.002059025394646534,0.6666666666666666,0.002059025394646534,0.4,0.0006863417982155113,,0.0,
0,Birmingham,2009,69,28,0.4057971014492754,0.0,,0.0425531914893617,0.41935483870967744,0.002059025394646534,0.3333333333333333,0.002059025394646534,0.25,0.0,,0.0,
0,Birmingham,2010,62,22,0.3548387096774194,0.0,,0.03706245710363761,0.37037037037037035,0.002745367192862045,,0.002745367192862045,,0.0013726835964310226,1.0,0.0,
0,Birmingham,2011,57,20,0.3508771929824561,0.0,,0.033630748112560054,0.3673469387755102,0.0006863417982155113,,0.0006863417982155113,0.3333333333333333,0.0,,0.0006863417982155113,
0,Birmingham,2012,73,38,0.5205479452054794,0.0,,0.04667124227865477,0.5,0.0,,0.0,1.0,0.0006863417982155113,,0.0006863417982155113,1.0
0,Birmingham,2013,68,31,0.45588235294117646,0.0,,0.04118050789293068,0.4166666666666667,0.0,,0.0,0.75,0.0,,0.0,
0,Birmingham,2014,55,19,0.34545454545454546,0.0,,0.031571722717913524,0.34782608695652173,0.0006863417982155113,1.0,0.0006863417982155113,0.25,0.0,,0.0,
0,Birmingham,2015,83,36,0.43373493975903615,0.0,,0.05216197666437886,0.39473684210526316,0.002059025394646534,1.0,0.002059025394646534,0.75,0.0,,0.0,
0,Birmingham,2016,96,34,0.3541666666666667,0.0,,0.060398078242964996,0.375,0.002059025394646534,0.3333333333333333,0.002059025394646534,,0.0,,0.0,
0,Birmingham,2017,105,57,0.5428571428571428,0.0,,0.06932052161976665,0.5544554455445545,0.0,,0.0,0.3333333333333333,0.0,,0.0006863417982155113,
0,Boston,2007,70,35,0.5,0.0,,0.03774879890185312,0.5636363636363636,0.0061770761839396015,0.4444444444444444,0.0061770761839396015,,0.0,,0.0,
0,Boston,2008,70,45,0.6428571428571429,0.0006863417982155113,,0.033630748112560054,0.7142857142857143,0.009608785175017159,0.7142857142857143,0.009608785175017159,,0.0,,0.0,
0,Boston,2009,52,23,0.4423076923076923,0.0006863417982155113,,0.023335621139327384,0.4411764705882353,0.008922443376801648,0.38461538461538464,0.008922443376801648,0.6666666666666666,0.0,,0.0006863417982155113,1.0
0,Boston,2010,79,42,0.5316455696202531,0.0006863417982155113,,0.03980782429649966,0.6379310344827587,0.01098146877144818,0.3125,0.01098146877144818,,0.0006863417982155113,,0.0,
0,Boston,2011,68,37,0.5441176470588235,0.0,,0.033630748112560054,0.673469387755102,0.008922443376801648,0.3076923076923077,0.008922443376801648,,0.0,,0.0,
0,Boston,2012,62,24,0.3870967741935484,0.0006863417982155113,,0.028826355525051476,0.4523809523809524,0.0075497597803706245,0.2727272727272727,0.0075497597803706245,0.14285714285714285,0.0006863417982155113,1.0,0.0,
0,Boston,2013,44,21,0.4772727272727273,0.0,,0.01990391214824983,0.6206896551724138,0.0061770761839396015,0.2222222222222222,0.0061770761839396015,0.16666666666666666,0.0,,0.0,
0,Boston,2014,58,28,0.4827586206896552,0.0,,0.024021962937542895,0.5142857142857142,0.01029512697323267,0.6,0.01029512697323267,0.125,0.0,,0.0,
0,Boston,2015,41,20,0.4878048780487805,0.0006863417982155113,,0.01990391214824983,0.5172413793103449,0.00549073438572409,0.625,0.00549073438572409,,0.0,,0.0,
0,Boston,2016,49,27,0.5510204081632653,0.0,,0.028140013726835965,0.6097560975609756,0.002745367192862045,0.5,0.002745367192862045,,0.0,,0.0,
0,Boston,2017,57,34,0.5964912280701754,0.0006863417982155113,1.0,0.03088538091969801,0.6444444444444445,0.004118050789293068,0.5,0.004118050789293068,0.2,0.0,,0.0,
0,Buffalo,2007,59,27,0.4576271186440678,0.0,,0.03225806451612903,0.425531914893617,0.0006863417982155113,,0.0006863417982155113,0.6363636363636364,0.0,,0.0,
0,Buffalo,2008,39,24,0.6153846153846154,0.0,,0.02127659574468085,0.7419354838709677,0.0013726835964310226,0.5,0.0013726835964310226,,0.0,,0.0,
0,Buffalo,2009,64,35,0.546875,0.0,,0.032944406314344546,0.5208333333333334,0.00549073438572409,0.5,0.00549073438572409,0.75,0.0,,0.0,
0,Buffalo,2010,58,33,0.5689655172413793,0.0,,0.03568977350720659,0.5961538461538461,0.0013726835964310226,0.5,0.0013726835964310226,0.25,0.0,,0.0,
0,Buffalo,2011,38,21,0.5526315789473685,0.0006863417982155113,1.0,0.02059025394646534,0.6333333333333333,0.002059025394646534,0.3333333333333333,0.002059025394646534,,0.0006863417982155113,,0.0,
0,Buffalo,2012,53,35,0.660377358490566,0.0006863417982155113,,0.031571722717913524,0.6739130434782609,0.002059025394646534,0.6666666666666666,0.002059025394646534,0.5,0.0,,0.0006863417982155113,1.0
0,Buffalo,2013,50,34,0.68,0.0,,0.028140013726835965,0.7560975609756098,0.002745367192862045,0.25,0.002745367192862045,0.4,0.0,,0.0,
0,Buffalo,2014,67,46,0.6865671641791045,0.0,,0.038435140700068635,0.7678571428571429,0.002745367192862045,0.25,0.002745367192862045,0.16666666666666666,0.0,,0.0006863417982155113,1.0
0,Buffalo,2015,43,24,0.5581395348837209,0.0,,0.024021962937542895,0.6,0.002745367192862045,0.75,0.002745367192862045,,0.0,,0.0,
0,Buffalo,2016,48,34,0.7083333333333334,0.0,,0.027453671928620454,0.75,0.0013726835964310226,0.5,0.0013726835964310226,0.4,0.0006863417982155113,1.0,0.0,
0,Buffalo,2017,33,30,0.9090909090909091,0.0,,0.01990391214824983,0.9310344827586207,0.002059025394646534,0.6666666666666666,0.002059025394646534,1.0,0.0,,0.0,
0,Charlotte,2007,76,36,0.47368421052631576,0.0006863417982155113,1.0,0.033630748112560054,0.4489795918367347,0.008922443376801648,0.6923076923076923,0.008922443376801648,0.2,0.0013726835964310226,0.5,0.0006863417982155113,1.0
0,Charlotte,2008,89,38,0.42696629213483145,0.0,,0.03706245710363761,0.4074074074074074,0.01098146877144818,0.375,0.01098146877144818,0.35714285714285715,0.0006863417982155113,1.0,0.002745367192862045,1.0
0,Charlotte,2009,58,13,0.22413793103448276,0.0006863417982155113,1.0,0.031571722717913524,0.21739130434782608,0.004804392587508579,0.2857142857142857,0.004804392587508579,,0.0,,0.0,
0,Charlotte,2010,64,14,0.21875,0.0,,0.033630748112560054,0.20408163265306123,0.004804392587508579,0.2857142857142857,0.004804392587508579,0.25,0.0,,0.0,
